Flight ID,Departure date,Intl/Dome,Flight NO.,Departure airport,Arrival airport,Departure Time,Arrival Time,Airplane ID,Airplane Model,Air fares,Peak-season fares ,Off-season rates
44,42862,Dome,353,49,32,42862.30208,42862.36806,92,2,384,452,333
45,42863,Dome,353,49,32,42863.30208,42863.36806,90,2,778,1324,692
46,42860,Dome,354,71,32,42860.52083,42860.59375,90,2,668,696,479
47,42860,Dome,354,32,49,42860.63542,42860.69444,90,2,581,792,562
48,42861,Dome,354,71,32,42861.52083,42861.59375,7,2,1013,1621,960
49,42860,Dome,358,67,50,42860.60417,42860.70486,33,1,1241,2345,971
50,42861,Dome,358,67,50,42861.60417,42861.70486,12,2,1365,2172,1116
51,42862,Dome,358,67,50,42862.60417,42862.70486,15,2,521,792,502
52,42863,Dome,358,67,50,42863.60417,42863.70486,74,2,817,983,749
53,42861,Dome,354,32,49,42861.63542,42861.69444,7,2,459,846,420
54,42862,Dome,350,72,50,42862.48611,42862.60069,69,2,609,764,530
55,42860,Dome,355,49,72,42860.46875,42860.59028,92,2,1458,1504,1047
56,42860,Dome,350,72,50,42860.48611,42860.60069,70,2,698,791,581
57,42861,Dome,350,72,50,42861.48611,42861.60069,134,2,1038,1978,949
58,42863,Dome,350,72,50,42863.48611,42863.60069,135,2,749,1185,556
59,42861,Dome,355,49,72,42861.46875,42861.59028,29,3,1158,1941,914
60,42862,Dome,355,49,72,42862.46875,42862.59028,29,3,1339,1421,965
61,42863,Dome,355,49,72,42863.46875,42863.59028,29,3,1219,1722,1218
62,42860,Dome,353,32,71,42860.42361,42860.48958,90,2,569,960,425
63,42861,Dome,353,32,71,42861.42361,42861.48958,7,2,505,588,396
64,42862,Dome,353,32,71,42862.42361,42862.48958,92,2,861,1599,852
65,42863,Dome,353,32,71,42863.42361,42863.48958,90,2,527,1008,494
66,42860,Intl,362,49,36,42860.39583,42860.44792,24,4,938,1648,815
67,42862,Dome,351,49,68,42862.76389,42862.85069,41,1,510,655,478
68,42863,Dome,351,49,68,42863.76389,42863.85069,30,1,1042,1366,844
69,42861,Intl,373,4,36,42861.18403,42861.76042,24,4,8228,11957,8106
70,42860,Dome,390,50,48,42860.66319,42860.79514,44,1,1761,2663,1428
71,42862,Dome,390,50,48,42862.66319,42862.79514,40,1,1686,2698,1434
72,42863,Dome,390,50,48,42863.66319,42863.79514,45,1,683,973,562
73,42861,Intl,373,36,49,42861.85069,42861.90278,24,4,1019,1339,966
74,42861,Dome,381,49,67,42861.29861,42861.40972,45,1,568,880,511
75,42863,Dome,381,49,67,42863.29861,42863.40972,44,1,644,950,501
76,42860,Dome,386,49,67,42860.87847,42860.98264,140,2,797,1023,650
77,42861,Dome,386,49,67,42861.87847,42861.98264,121,2,860,1338,700
78,42862,Dome,386,49,67,42862.87847,42862.98264,120,2,1357,2153,1133
79,42863,Dome,386,49,67,42863.87847,42863.98264,121,2,1201,1273,926
80,42861,Dome,381,67,69,42861.45486,42861.56944,45,1,1622,1706,1138
81,42863,Dome,381,67,69,42863.45486,42863.56944,44,1,840,1058,809
82,42862,Dome,399,50,38,42862.77778,42862.84375,65,2,334,532,303
83,42860,Dome,391,48,50,42860.84375,42860.95833,44,1,902,981,721
84,42862,Dome,391,48,50,42862.84375,42862.95833,40,1,1131,2102,803
85,42863,Dome,391,48,50,42863.84375,42863.95833,45,1,1672,1966,1610
86,42860,Dome,368,50,68,42860.36806,42860.46181,46,1,993,1150,708
87,42861,Dome,368,50,68,42861.36806,42861.46181,101,2,1382,1637,1313
88,42862,Dome,368,50,68,42862.36806,42862.46181,98,2,768,1435,705
89,42863,Dome,368,50,68,42863.36806,42863.46181,45,1,1098,1451,923
90,42860,Dome,381,49,67,42860.29861,42860.40972,45,1,557,1059,444
91,42860,Dome,381,67,69,42860.45486,42860.56944,45,1,1473,2946,1174
92,42860,Dome,387,67,49,42860.48958,42860.59375,132,2,971,1043,726
93,42863,Dome,387,67,49,42863.48958,42863.59375,131,2,699,721,639
94,42860,Dome,382,69,67,42860.60417,42860.70486,45,1,1085,1563,805
95,42862,Dome,382,69,67,42862.60417,42862.70486,44,1,1410,1513,1061
96,42860,Dome,382,67,49,42860.74653,42860.85069,45,1,924,1655,867
97,42862,Dome,382,67,49,42862.74653,42862.85069,44,1,746,954,602
98,42861,Dome,387,67,49,42861.48958,42861.59375,5,2,943,1617,822
99,42862,Dome,387,67,49,42862.48958,42862.59375,124,2,1329,1640,1252
100,42860,Dome,369,68,50,42860.49653,42860.59028,46,1,1145,2195,1057
101,42861,Dome,369,68,50,42861.49653,42861.59028,101,2,556,697,550
102,42862,Dome,369,68,50,42862.49653,42862.59028,98,2,868,1226,842
103,42863,Dome,369,68,50,42863.49653,42863.59028,45,1,1188,1675,1036
104,42861,Intl,384,37,49,42861.59028,42861.67708,115,2,1345,2579,1303
105,42863,Intl,384,37,49,42863.59028,42863.67708,12,2,1266,2433,965
106,42861,Intl,395,21,49,42861.38889,42861.57639,13,2,3036,5268,2988
107,42863,Intl,395,21,49,42863.38889,42863.58333,93,2,2603,3732,2101
108,42861,Intl,395,49,37,42861.63194,42861.72917,13,2,1348,1939,1031
109,42863,Intl,395,49,37,42863.63194,42863.72917,93,2,1582,1958,1420
110,42861,Intl,384,49,21,42861.72917,42861.91667,115,2,3247,3814,2552
111,42863,Intl,384,49,21,42863.72917,42863.91667,12,2,2739,5023,2218
112,42860,Dome,409,67,49,42860.625,42860.72222,106,2,765,1080,636
113,42861,Dome,409,67,49,42861.625,42861.72222,77,2,848,862,757
114,42862,Dome,400,38,50,42862.45486,42862.51389,80,2,538,966,538
115,42863,Dome,400,67,38,42863.35417,42863.41319,17,2,325,334,284
116,42860,Dome,414,62,49,42860.38889,42860.46875,47,2,598,778,586
117,42862,Dome,414,62,49,42862.38889,42862.46875,6,2,773,967,729
118,42863,Dome,414,62,49,42863.38889,42863.46875,80,2,987,1601,860
119,42863,Dome,400,38,50,42863.45486,42863.51389,17,2,404,660,290
120,42860,Dome,400,67,38,42860.35417,42860.41319,55,2,479,836,368
121,42860,Dome,400,38,50,42860.45486,42860.51389,55,2,447,612,408
122,42860,Dome,415,32,49,42860.30903,42860.37153,36,2,729,1373,620
123,42861,Dome,415,32,49,42861.30903,42861.37153,131,2,904,1508,840
124,42862,Dome,415,32,49,42862.30903,42862.37153,84,2,671,1157,549
125,42863,Dome,415,32,49,42863.30903,42863.37153,48,2,368,399,299
126,42860,Dome,401,50,67,42860.57292,42860.67708,40,1,563,597,487
127,42861,Dome,401,50,67,42861.57292,42861.67708,33,1,993,1119,941
128,42862,Dome,401,50,67,42862.57292,42862.67708,33,1,1035,2003,855
129,42863,Dome,401,50,67,42863.57292,42863.67708,33,1,524,528,377
130,42861,Dome,407,72,49,42861.27431,42861.38889,141,2,938,1791,659
131,42862,Dome,407,72,49,42862.27431,42862.38889,90,2,1592,2410,1357
132,42860,Dome,407,72,49,42860.27431,42860.38889,130,2,1428,1535,1017
133,42863,Dome,407,72,49,42863.27431,42863.38889,134,2,624,744,486
134,42862,Dome,402,67,50,42862.71875,42862.81597,33,1,1173,1996,1000
135,42860,Dome,408,49,67,42860.46181,42860.57292,106,2,1091,2035,850
136,42861,Dome,408,49,67,42861.46181,42861.57292,77,2,950,1249,883
137,42862,Dome,408,49,67,42862.46181,42862.57292,59,2,957,957,781
138,42863,Dome,408,49,67,42863.46181,42863.57292,30,1,563,807,497
139,42861,Dome,414,62,49,42861.38889,42861.46875,10,2,747,1178,733
140,42860,Dome,402,67,50,42860.71875,42860.81597,40,1,1047,1070,826
141,42861,Dome,402,67,50,42861.71875,42861.81597,33,1,659,965,588
142,42863,Dome,402,67,50,42863.71875,42863.81597,33,1,1010,1438,968
143,42862,Dome,399,38,67,42862.88542,42862.95139,65,2,333,582,330
144,42860,Dome,399,50,38,42860.77778,42860.84375,72,2,750,848,729
145,42863,Dome,399,50,38,42863.77778,42863.84375,96,2,928,1793,824
146,42860,Dome,413,49,62,42860.29167,42860.36806,69,2,507,753,446
147,42861,Dome,413,49,62,42861.29167,42861.36806,15,2,797,1294,785
148,42862,Dome,413,49,62,42862.29167,42862.36806,50,2,646,659,540
149,42863,Dome,413,49,62,42863.29167,42863.36806,92,2,1105,1322,880
150,42860,Dome,399,38,67,42860.88542,42860.95139,72,2,419,585,351
151,42863,Dome,399,38,67,42863.88542,42863.95139,96,2,940,1876,790
152,42862,Dome,409,67,49,42862.625,42862.72222,59,2,1450,2801,1043
153,42863,Dome,409,67,49,42863.625,42863.72222,30,1,1434,2693,1139
154,42860,Dome,405,49,72,42860.85417,42860.97917,141,2,857,1246,851
155,42861,Dome,405,49,72,42861.85417,42861.97917,90,2,1688,1699,1467
156,42862,Dome,405,49,72,42862.85417,42862.97917,134,2,1795,3146,1754
157,42863,Dome,405,49,72,42863.85417,42863.97917,82,2,1604,2696,1299
158,42862,Dome,400,67,38,42862.35417,42862.41319,80,2,339,496,335
159,42861,Intl,430,49,37,42861.88194,42861.97222,105,2,1573,2112,1332
160,42860,Dome,418,62,49,42860.84722,42860.92708,54,2,542,715,540
161,42860,Dome,428,49,62,42860.87153,42860.94792,41,1,653,874,558
162,42861,Dome,428,49,62,42861.87153,42861.94792,6,2,1014,1459,732
163,42862,Dome,428,49,62,42862.87847,42862.94792,30,1,955,1267,839
164,42863,Dome,428,49,62,42863.87153,42863.94792,43,1,582,908,560
165,42860,Dome,419,49,57,42860.32292,42860.39931,88,2,1132,1822,1020
166,42861,Dome,419,49,57,42861.32292,42861.39931,19,2,880,1496,767
167,42862,Dome,419,49,57,42862.32292,42862.39931,48,2,1003,1017,822
168,42863,Dome,419,49,57,42863.32292,42863.39931,19,2,1011,1213,732
169,42860,Intl,422,49,22,42860.48958,42860.67361,104,2,2339,3643,2070
170,42861,Intl,422,49,22,42861.48958,42861.67361,16,2,3009,4632,2973
171,42862,Intl,422,49,22,42862.48958,42862.67361,105,2,2763,5497,1944
172,42863,Intl,422,49,22,42863.48958,42863.67361,108,2,3145,3852,3004
173,42860,Dome,431,49,62,42860.52083,42860.59375,47,2,972,1122,924
174,42861,Dome,431,49,62,42861.52083,42861.59375,91,2,449,690,409
175,42862,Dome,431,49,62,42862.52083,42862.59375,41,1,422,475,314
176,42863,Dome,431,49,62,42863.52083,42863.59375,80,2,437,532,414
177,42860,Dome,416,49,32,42860.91667,42860.98958,126,2,776,877,582
178,42861,Dome,416,49,32,42861.91667,42861.98958,9,2,662,804,545
179,42862,Dome,416,49,32,42862.91667,42862.98958,48,2,595,1184,429
180,42863,Dome,416,49,32,42863.91667,42863.98958,57,2,930,1475,800
181,42860,Dome,429,62,49,42860.3125,42860.38889,58,2,903,1632,766
182,42863,Dome,429,62,49,42863.3125,42863.38889,30,1,810,1028,645
183,42860,Dome,420,57,49,42860.45139,42860.52431,88,2,805,1390,685
184,42861,Dome,420,57,49,42861.45139,42861.52431,19,2,698,892,601
185,42862,Dome,420,57,49,42862.45139,42862.52431,48,2,854,1369,779
186,42863,Dome,420,57,49,42863.45139,42863.52431,19,2,568,596,488
187,42861,Dome,423,62,49,42861.72222,42861.79861,6,2,669,678,495
188,42862,Dome,423,62,49,42862.72222,42862.79861,102,2,673,841,621
189,42860,Dome,423,62,49,42860.72222,42860.79861,59,2,1004,1819,1004
190,42863,Dome,423,62,49,42863.72222,42863.79861,57,2,1066,1204,1022
191,42861,Dome,429,62,49,42861.3125,42861.38889,41,1,864,1396,680
192,42862,Dome,429,62,49,42862.3125,42862.38889,37,2,504,615,354
193,42860,Dome,417,49,62,42860.72917,42860.80208,54,2,380,692,285
194,42862,Dome,417,49,62,42862.72917,42862.80208,56,2,524,1043,503
195,42860,Intl,430,22,49,42860.65278,42860.84028,115,2,2792,3188,2035
196,42862,Intl,430,22,49,42862.65278,42862.84028,108,2,3230,6044,2931
197,42863,Intl,430,22,49,42863.65278,42863.82986,95,2,3026,5762,2383
198,42860,Dome,421,49,62,42860.60417,42860.67708,59,2,367,705,289
199,42861,Dome,421,49,62,42861.60417,42861.67708,6,2,1079,1632,810
200,42862,Dome,421,49,62,42862.60417,42862.67708,102,2,727,1427,607
201,42863,Dome,421,49,62,42863.60417,42863.67708,57,2,796,1551,697
202,42860,Dome,424,49,62,42860.37153,42860.44444,56,2,744,849,639
203,42861,Dome,424,49,62,42861.37153,42861.44444,30,1,705,877,546
204,42862,Dome,424,49,62,42862.37153,42862.44444,26,3,922,1433,793
205,42863,Dome,424,49,62,42863.37153,42863.44444,57,2,708,1137,562
206,42860,Intl,430,49,37,42860.88194,42860.97222,115,2,1130,1232,1051
207,42862,Intl,430,49,37,42862.88194,42862.97222,108,2,1476,2514,1337
208,42863,Intl,430,49,37,42863.88194,42863.97222,95,2,1304,1927,1006
209,42862,Dome,418,62,49,42862.84722,42862.92708,56,2,850,1041,619
210,42860,Intl,422,37,49,42860.35764,42860.44444,104,2,1105,1141,1019
211,42861,Intl,422,37,49,42861.35764,42861.44444,16,2,1172,1891,1120
212,42862,Intl,422,37,49,42862.35764,42862.44444,105,2,1237,2077,1138
213,42863,Intl,422,37,49,42863.35764,42863.44444,108,2,1166,1366,818
214,42860,Dome,425,62,49,42860.48611,42860.5625,56,2,449,896,395
215,42862,Dome,425,62,49,42862.48611,42862.5625,26,3,977,1548,700
216,42861,Intl,430,22,49,42861.65278,42861.82986,105,2,2428,2939,1961
217,42861,Dome,425,62,49,42861.48611,42861.5625,30,1,538,706,460
218,42863,Dome,425,62,49,42863.48611,42863.5625,57,2,855,969,659
219,42863,Dome,444,62,50,42863.62847,42863.6875,65,2,848,1244,848
220,42860,Intl,454,49,27,42860.59375,42860.71875,8,2,2077,2418,1964
221,42862,Intl,454,49,27,42862.59375,42862.71875,8,2,2050,2402,1987
222,42862,Dome,439,62,49,42862.79167,42862.875,75,2,648,1294,640
223,42860,Dome,439,62,49,42860.79167,42860.875,30,1,713,1042,654
224,42860,Dome,444,62,50,42860.62847,42860.6875,117,2,425,777,351
225,42861,Dome,444,62,50,42861.62847,42861.6875,65,2,776,1502,735
226,42860,Dome,455,50,62,42860.77083,42860.82639,26,3,378,455,338
227,42862,Dome,455,50,62,42862.77083,42862.82639,55,2,641,1278,612
228,42863,Dome,455,50,62,42863.77083,42863.82639,53,2,524,750,423
229,42862,Intl,441,16,49,42862.59722,42862.72917,7,2,1974,2430,1804
230,42860,Dome,447,49,62,42860.79167,42860.86458,93,2,810,1462,586
231,42861,Dome,447,49,62,42861.79167,42861.86458,48,2,791,1124,614
232,42862,Dome,447,49,62,42862.79167,42862.86458,57,2,749,1356,581
233,42863,Dome,447,49,62,42863.79167,42863.86458,29,3,379,426,331
234,42862,Intl,434,49,16,42862.39583,42862.53125,7,2,1878,3314,1858
235,42862,Dome,456,62,50,42862.87847,42862.94097,55,2,802,1533,623
236,42863,Dome,456,62,50,42863.87847,42863.94097,53,2,698,729,653
237,42860,Intl,441,16,49,42860.57639,42860.71528,18,2,2240,4338,1645
238,42861,Intl,441,16,49,42861.59722,42861.72917,58,2,2257,2356,2212
239,42863,Intl,441,16,49,42863.59722,42863.72917,6,2,2223,3537,1848
240,42861,Dome,448,62,49,42861.90625,42861.98264,48,2,839,863,637
241,42860,Dome,457,49,57,42860.625,42860.69792,109,2,375,529,374
242,42861,Dome,457,49,57,42861.625,42861.69792,18,2,794,940,604
243,42862,Dome,457,49,57,42862.625,42862.69792,94,2,763,1524,703
244,42863,Dome,457,49,57,42863.625,42863.69792,102,2,632,1168,531
245,42860,Intl,434,49,16,42860.39583,42860.53472,18,2,2173,3212,1967
246,42861,Intl,434,49,16,42861.39583,42861.53125,58,2,2255,4422,1931
247,42863,Intl,434,49,16,42863.39583,42863.53125,6,2,1906,2145,1833
248,42862,Dome,448,62,49,42862.90625,42862.98264,57,2,930,1201,790
249,42860,Dome,456,62,50,42860.87847,42860.94097,26,3,870,987,708
250,42861,Dome,456,62,50,42861.87847,42861.94097,44,1,615,709,521
251,42860,Dome,438,49,62,42860.66667,42860.73958,95,2,727,1063,672
252,42861,Dome,438,49,62,42861.66667,42861.73958,94,2,799,1396,581
253,42862,Dome,438,49,62,42862.66667,42862.73958,74,2,680,1035,551
254,42863,Dome,438,49,62,42863.66667,42863.73958,41,1,532,630,375
255,42860,Dome,448,62,49,42860.90625,42860.98264,93,2,701,958,697
256,42863,Dome,448,62,49,42863.90625,42863.98264,29,3,488,962,430
257,42861,Dome,455,50,62,42861.77083,42861.82639,44,1,513,963,512
258,42860,Dome,443,50,62,42860.48264,42860.53819,83,2,769,1439,740
259,42861,Dome,443,50,62,42861.48264,42861.53819,73,2,713,723,545
260,42862,Dome,443,50,62,42862.48264,42862.53819,38,2,496,547,488
261,42863,Dome,443,50,62,42863.48264,42863.53819,39,2,414,421,352
262,42860,Intl,451,27,49,42860.58681,42860.69792,14,2,1670,2967,1223
263,42862,Intl,451,27,49,42862.58681,42862.69792,14,2,1814,3006,1551
264,42860,Intl,451,49,22,42860.73958,42860.92361,14,2,3020,4252,2506
265,42862,Intl,451,49,22,42862.73958,42862.92361,14,2,3043,5242,2914
266,42863,Dome,439,62,49,42863.79167,42863.87153,31,1,614,776,577
267,42860,Intl,454,22,49,42860.37153,42860.55208,8,2,3049,3416,2860
268,42862,Intl,454,22,49,42862.37153,42862.55208,8,2,2881,3334,2763
269,42860,Dome,432,62,49,42860.63889,42860.71528,47,2,894,1346,866
270,42861,Dome,432,62,49,42861.63889,42861.71528,91,2,669,1150,590
271,42862,Dome,432,62,49,42862.63889,42862.71528,41,1,1060,1142,1044
272,42863,Dome,432,62,49,42863.63889,42863.71528,80,2,1119,2153,865
273,42861,Dome,439,62,49,42861.79167,42861.875,94,2,889,1723,709
274,42862,Dome,444,62,50,42862.62847,42862.6875,96,2,777,1015,750
275,42860,Intl,17,14,49,42860.86458,42860.92014,106,2,873,1736,665
276,42861,Intl,17,14,49,42861.86458,42861.92014,93,2,781,1538,597
277,42860,Dome,29,60,79,42860.45833,42860.52083,123,2,531,978,406
278,42861,Dome,29,60,79,42861.45833,42861.52083,53,2,663,773,469
279,42862,Dome,29,60,79,42862.45833,42862.52083,122,2,518,621,515
280,42863,Dome,29,60,79,42863.45833,42863.52083,126,2,858,1263,845
281,42860,Dome,32,49,79,42860.32639,42860.46528,107,2,1591,1792,1186
282,42861,Dome,32,49,79,42861.32639,42861.46528,68,2,1082,1277,770
283,42862,Dome,32,49,79,42862.32639,42862.46528,36,2,823,1463,805
284,42863,Dome,32,49,79,42863.32639,42863.46528,67,2,1680,1721,1354
285,42860,Intl,2,14,49,42860.51389,42860.56944,109,2,814,1277,626
286,42861,Intl,2,14,49,42861.51389,42861.56944,18,2,894,1539,812
287,42862,Intl,2,14,49,42862.51389,42862.56944,94,2,929,1765,872
288,42863,Intl,2,14,49,42863.51389,42863.56944,102,2,745,1270,708
289,42860,Intl,8,17,49,42860.375,42860.49653,15,2,1856,3390,1360
290,42861,Intl,8,17,49,42861.375,42861.49653,108,2,1964,3859,1375
291,42862,Intl,8,17,49,42862.375,42862.49653,19,2,2099,3205,1740
292,42863,Intl,8,17,49,42863.375,42863.49653,109,2,1806,3360,1522
293,42860,Intl,18,61,14,42860.40972,42860.46875,85,2,892,1130,785
294,42861,Intl,18,61,14,42861.40972,42861.46875,17,2,1016,1517,856
295,42862,Intl,18,61,14,42862.40972,42862.46875,17,2,745,1157,672
296,42863,Intl,18,61,14,42863.40972,42863.46875,116,2,929,1571,913
297,42862,Intl,30,49,23,42862.91667,42863.30208,22,4,5283,5369,4453
298,42860,Intl,9,63,14,42860.64583,42860.71181,91,2,1064,1334,1039
299,42863,Intl,9,63,14,42863.64583,42863.71181,19,2,1092,1880,1052
300,42862,Intl,19,14,61,42862.51042,42862.56944,17,2,834,1384,597
301,42860,Dome,31,79,60,42860.69444,42860.76389,37,2,657,1037,464
302,42861,Dome,31,79,60,42861.69444,42861.76389,69,2,990,1867,697
303,42863,Dome,31,79,60,42863.69444,42863.76389,55,2,356,478,272
304,42863,Intl,10,14,63,42863.75347,42863.82292,19,2,1070,1075,976
305,42860,Intl,10,14,63,42860.75347,42860.82292,91,2,1091,1711,990
306,42861,Intl,12,49,24,42861.90972,42862.30208,22,4,6125,11647,4565
307,42860,Intl,19,14,61,42860.51042,42860.56944,85,2,990,1140,818
308,42861,Intl,19,14,61,42861.51042,42861.56944,17,2,933,1711,691
309,42863,Intl,19,14,61,42863.51042,42863.56944,116,2,927,1404,897
310,42860,Dome,31,60,50,42860.80556,42860.89583,37,2,841,965,612
311,42861,Dome,31,60,50,42861.80556,42861.89583,69,2,1016,1653,718
312,42860,Intl,16,49,14,42860.77083,42860.82292,106,2,808,1421,698
313,42861,Intl,16,49,14,42861.77083,42861.82292,93,2,672,750,575
314,42862,Intl,16,49,14,42862.77083,42862.82292,7,2,786,1483,761
315,42863,Intl,16,49,14,42863.77083,42863.82292,6,2,762,893,552
316,42862,Intl,21,24,49,42862.38542,42862.78819,22,4,5908,8336,4349
317,42863,Dome,31,60,50,42863.80556,42863.89583,55,2,940,1833,778
318,42860,Dome,29,50,60,42860.33681,42860.42361,123,2,682,1241,514
319,42861,Dome,29,50,60,42861.33681,42861.42361,53,2,970,1355,735
320,42862,Dome,29,50,60,42862.33681,42862.42361,122,2,629,1142,513
321,42863,Dome,29,50,60,42863.33681,42863.42361,126,2,976,1022,812
322,42862,Dome,31,79,60,42862.69444,42862.76389,135,2,412,505,373
323,42863,Intl,17,14,49,42863.86458,42863.92014,6,2,715,878,505
324,42862,Dome,31,60,50,42862.80556,42862.89583,135,2,616,1226,598
325,42860,Intl,1,49,14,42860.41667,42860.47222,109,2,724,788,702
326,42861,Intl,1,49,14,42861.41667,42861.47222,18,2,755,1222,682
327,42862,Intl,1,49,14,42862.41667,42862.47222,94,2,888,1529,714
328,42863,Intl,1,49,14,42863.41667,42863.47222,102,2,703,938,673
329,42860,Intl,7,49,17,42860.82986,42860.95833,108,2,1663,1666,1463
330,42861,Intl,7,49,17,42861.82986,42861.95833,19,2,1877,3304,1740
331,42862,Intl,7,49,17,42862.82986,42862.95833,109,2,2228,2757,1946
332,42863,Intl,7,49,17,42863.82986,42863.95833,94,2,2123,2376,1665
333,42862,Intl,17,14,49,42862.86458,42862.92014,7,2,737,956,632
334,42860,Dome,49,49,60,42860.50694,42860.61111,48,2,916,1210,785
335,42861,Dome,49,49,60,42861.50694,42861.61111,141,2,784,927,643
336,42862,Dome,49,49,60,42862.50694,42862.61111,37,2,1500,2924,1337
337,42863,Dome,49,49,60,42863.50694,42863.61111,134,2,668,955,506
338,42860,Dome,41,54,78,42860.46181,42860.50694,101,2,268,348,189
339,42861,Dome,41,54,78,42861.46181,42861.50694,117,2,430,783,428
340,42863,Dome,41,54,78,42863.46181,42863.50694,104,2,595,1016,552
341,42861,Dome,45,60,78,42861.91319,42861.95139,58,2,381,503,309
342,42863,Dome,45,60,78,42863.91319,42863.95139,18,2,445,565,330
343,42861,Intl,50,49,1,42861.90278,42862.40278,20,4,6952,7520,5956
344,42863,Intl,50,49,1,42863.90278,42864.40278,22,4,8209,13783,7733
345,42860,Dome,52,55,77,42860.63194,42860.72222,64,2,1060,2090,869
346,42862,Dome,41,50,54,42862.33681,42862.43056,136,2,729,900,709
347,42860,Dome,45,49,60,42860.77431,42860.88194,92,2,573,1063,504
348,42862,Dome,45,49,60,42862.77431,42862.88194,103,2,883,1198,882
349,42860,Dome,51,76,60,42860.75347,42860.83681,48,2,1238,1900,1214
350,42862,Dome,51,76,60,42862.75347,42862.83681,37,2,583,1022,561
351,42862,Dome,52,55,77,42862.63194,42862.72222,6,2,1053,2093,765
352,42863,Dome,52,55,77,42863.63194,42863.72222,35,2,809,1270,742
353,42862,Dome,41,54,78,42862.46181,42862.50694,136,2,557,1019,532
354,42860,Dome,51,60,49,42860.875,42860.97569,48,2,1174,1244,822
355,42862,Dome,51,60,49,42862.875,42862.97569,37,2,1374,2734,1265
356,42862,Dome,53,77,55,42862.75694,42862.85764,6,2,1284,2274,980
357,42860,Dome,45,60,78,42860.91319,42860.95139,92,2,364,568,278
358,42862,Dome,45,60,78,42862.91319,42862.95139,103,2,480,858,418
359,42862,Dome,53,55,49,42862.88889,42862.97917,6,2,1277,1522,900
360,42862,Dome,42,78,54,42862.54861,42862.59722,136,2,574,704,520
361,42862,Dome,42,54,50,42862.62847,42862.71875,136,2,1133,1382,829
